Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,1,0,1,1,1,0,0,2,2,1,0,
AGUDO,4,1,5,3,3,3,2,5,2,6,5,
AJURICABA,2,1,1,1,0,0,1,1,1,0,0,
ALECRIM,0,1,0,1,0,1,1,0,0,1,1,
ALEGRETE,11,14,11,8,8,12,5,6,14,10,10,
ALEGRIA,0,0,0,0,0,0,0,0,0,0,0,
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,
ALPESTRE,0,1,1,1,1,0,0,1,1,0,1,
ALTO ALEGRE,0,0,1,0,1,0,0,0,0,1,0,
ALTO FELIZ,0,0,0,0,0,1,1,0,0,0,0,
ALVORADA,49,44,56,40,29,35,38,37,38,34,43,
AMARAL FERRADOR,1,0,0,0,0,0,1,1,0,0,0,
AMETISTA DO SUL,1,3,1,1,0,0,2,3,0,3,1,
ANDRE DA ROCHA,1,0,0,0,0,0,0,0,0,0,0,
ANTA GORDA,1,1,0,0,0,2,0,0,0,1,1,
ANTONIO PRADO,0,0,4,0,0,0,0,0,1,2,1,
ARAMBARE,0,0,0,0,3,0,0,1,0,0,0,
ARARICA,0,1,0,1,0,1,0,1,0,0,1,
ARATIBA,0,2,0,1,0,0,4,0,0,1,0,
ARROIO DO MEIO,3,2,2,2,0,0,2,0,4,1,5,
ARROIO DO PADRE,0,1,0,0,0,0,1,0,0,0,0,
ARROIO DO SAL,5,0,1,2,0,1,1,0,0,7,6,
ARROIO DO TIGRE,5,1,1,4,2,3,2,0,2,0,1,
ARROIO DOS RATOS,1,3,5,1,0,2,1,2,0,3,3,
ARROIO GRANDE,1,3,1,3,2,2,1,3,2,4,3,
ARVOREZINHA,1,0,2,0,1,0,1,2,0,3,3,
AUGUSTO PESTANA,0,0,3,0,1,0,0,0,2,0,0,
AUREA,0,1,1,0,0,0,1,1,0,0,1,
BAGE,17,18,27,12,7,15,17,14,10,13,16,
BALNEARIO PINHAL,2,3,2,2,1,2,4,2,1,5,3,
BARAO,0,0,2,0,0,0,0,0,0,0,2,
BARAO DO COTEGIPE,0,2,0,0,0,3,3,2,2,3,1,
BARAO DO TRIUNFO,1,1,0,1,0,0,1,1,0,2,0,
BARRA DO GUARITA,1,1,3,0,3,1,1,0,0,0,1,
BARRA DO QUARAI,2,2,3,1,0,0,0,0,0,2,1,
BARRA DO RIBEIRO,4,1,0,0,2,1,2,2,0,3,2,
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,
BARRA FUNDA,1,0,1,0,0,0,0,0,0,1,1,
BARRACAO,1,0,1,0,1,0,0,1,2,2,0,
BARROS CASSAL,2,0,3,1,2,2,0,1,3,1,4,
BENJAMIN CONSTANT DO SUL,1,1,0,0,0,0,0,0,0,0,0,
BENTO GONCALVES,14,30,20,18,15,15,13,17,19,26,24,
BOA VISTA DAS MISSOES,0,1,0,0,0,0,0,0,0,0,1,
BOA VISTA DO BURICA,3,1,3,1,0,1,1,1,0,1,0,
BOA VISTA DO CADEADO,1,0,0,0,0,0,0,0,0,0,0,
BOA VISTA DO INCRA,0,0,1,1,0,0,0,0,0,0,0,
BOA VISTA DO SUL,0,1,0,0,0,0,0,0,0,0,0,
BOM JESUS,1,5,4,4,2,1,1,1,1,2,2,
BOM PRINCIPIO,1,2,4,0,3,2,1,1,4,3,2,
BOM PROGRESSO,0,0,1,0,0,0,0,0,0,1,1,
BOM RETIRO DO SUL,1,2,2,3,1,2,2,0,1,1,0,
BOQUEIRAO DO LEAO,0,0,0,0,1,0,0,0,0,0,0,
BOSSOROCA,1,0,1,2,2,0,2,0,1,0,0,
BOZANO,0,0,0,0,0,1,1,1,1,0,0,
BRAGA,2,0,0,0,0,0,0,0,1,2,1,
BROCHIER,0,0,2,1,0,0,0,0,2,0,1,
BUTIA,5,5,5,3,11,1,2,4,3,7,3,
CACAPAVA DO SUL,14,6,10,3,3,7,6,10,1,5,4,
CACEQUI,0,5,5,2,3,2,3,4,1,2,4,
CACHOEIRA DO SUL,18,11,9,7,5,6,7,9,8,5,9,
CACHOEIRINHA,26,27,30,9,14,16,14,25,23,23,18,
CACIQUE DOBLE,0,0,3,1,1,0,1,1,1,0,1,
CAIBATE,0,0,0,0,0,0,0,0,0,1,0,
CAICARA,1,0,0,0,0,1,0,1,0,2,0,
CAMAQUA,9,11,14,13,11,5,3,6,9,16,19,
CAMARGO,0,0,1,1,0,2,0,0,1,1,0,
CAMBARA DO SUL,0,0,1,1,1,0,3,0,0,1,0,
CAMPESTRE DA SERRA,0,2,0,0,0,0,0,1,1,1,2,
CAMPINA DAS MISSOES,1,1,1,0,0,0,1,1,0,0,0,
CAMPINAS DO SUL,1,0,0,0,0,0,1,2,1,0,3,
CAMPO BOM,8,12,3,4,9,10,5,9,6,8,6,
CAMPO NOVO,0,0,1,1,0,2,1,0,0,0,0,
CAMPOS BORGES,2,0,0,1,0,0,0,4,0,1,0,
CANDELARIA,5,9,7,3,5,5,4,7,1,5,6,
CANDIDO GODOI,0,0,0,0,0,0,0,0,0,0,0,
CANDIOTA,0,4,0,2,1,0,3,1,1,2,1,
CANELA,8,17,19,10,12,9,11,9,9,8,9,
CANGUCU,1,3,4,2,1,2,4,4,1,2,5,
CANOAS,50,42,66,48,45,40,33,48,44,49,44,
CANUDOS DO VALE,0,0,0,0,0,0,0,0,0,0,0,
CAPAO BONITO DO SUL,0,0,0,0,0,0,1,0,0,1,0,
CAPAO DA CANOA,27,24,23,8,11,12,6,9,5,16,16,
CAPAO DO CIPO,0,1,0,0,0,1,0,1,0,0,0,
CAPAO DO LEAO,2,6,9,6,2,4,3,5,1,6,0,
CAPELA DE SANTANA,2,1,3,1,1,2,4,0,3,0,2,
CAPITAO,0,0,0,0,0,3,0,0,1,0,1,
CAPIVARI DO SUL,0,2,1,0,0,0,1,2,0,0,2,
CARAA,1,0,0,0,0,0,0,0,0,0,0,
CARAZINHO,12,4,10,3,6,8,9,7,8,14,10,
CARLOS BARBOSA,3,3,1,2,5,1,1,2,2,2,4,
CARLOS GOMES,0,0,1,0,0,0,0,0,0,0,0,
CASCA,0,1,2,0,0,0,2,1,2,1,0,
CASEIROS,1,1,0,0,1,0,0,0,0,0,2,
CATUIPE,2,3,1,0,2,0,0,0,2,0,2,
CAXIAS DO SUL,49,63,67,56,28,37,39,52,55,54,75,
CENTENARIO,0,0,1,0,0,0,0,0,1,0,0,
CERRITO,1,0,1,0,1,0,0,0,0,0,2,
