Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,0,0,2,1,0,0,0,1,1,0,0,0
AGUA SANTA,0,0,0,0,1,0,0,1,2,1,1,0
AGUDO,3,3,5,4,3,5,2,0,0,3,4,1
AJURICABA,2,0,1,0,0,0,0,0,0,1,1,0
ALECRIM,0,0,0,1,0,0,0,0,1,0,0,1
ALEGRETE,18,18,10,18,13,18,5,8,13,15,18,22
ALEGRIA,0,0,1,0,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,1,0,0,0,0,0,0,2
ALPESTRE,1,0,1,0,0,2,0,0,1,4,0,0
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0
ALTO FELIZ,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,41,52,53,43,35,27,36,22,35,40,41,46
AMARAL FERRADOR,2,0,0,0,1,0,0,1,0,0,0,1
AMETISTA DO SUL,0,1,1,1,1,1,0,5,2,0,1,0
ANDRE DA ROCHA,0,0,1,0,1,0,0,0,0,0,0,0
ANTA GORDA,1,0,0,0,0,1,0,0,0,1,0,0
ANTONIO PRADO,1,2,2,1,1,1,0,0,1,2,4,1
ARAMBARE,2,1,0,2,1,0,0,0,0,0,0,0
ARARICA,2,2,2,2,0,0,0,0,0,0,1,0
ARATIBA,1,0,0,0,0,1,3,0,2,1,0,0
ARROIO DO MEIO,1,3,4,1,0,3,1,0,0,2,3,1
ARROIO DO PADRE,0,0,0,0,0,1,0,0,0,0,0,0
ARROIO DO SAL,4,4,1,3,2,1,1,4,1,0,1,4
ARROIO DO TIGRE,3,1,1,4,2,0,1,3,2,6,2,2
ARROIO DOS RATOS,1,0,0,2,0,0,2,2,1,1,2,0
ARROIO GRANDE,4,2,5,3,0,5,0,1,4,1,4,1
ARVOREZINHA,0,0,1,1,1,0,0,4,2,2,0,3
AUGUSTO PESTANA,0,0,0,2,1,2,3,4,2,0,2,1
AUREA,0,1,1,0,0,0,0,0,1,2,1,0
BAGE,29,29,24,21,16,35,23,23,21,21,15,35
BALNEARIO PINHAL,12,10,2,2,1,1,3,3,0,2,4,7
BARAO,0,0,0,0,0,0,0,1,0,0,0,0
BARAO DO COTEGIPE,0,6,1,1,0,0,0,2,0,1,3,0
BARAO DO TRIUNFO,1,2,0,0,2,1,0,1,1,0,0,1
BARRA DO GUARITA,2,0,1,0,0,2,1,0,0,0,0,1
BARRA DO QUARAI,1,0,0,0,0,0,0,0,1,0,1,0
BARRA DO RIBEIRO,5,2,1,1,0,0,1,1,0,1,2,2
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,1,2,0,1,0,1,0,0,1,1,1,1
BARROS CASSAL,0,0,1,0,0,1,0,0,0,0,0,3
BENJAMIN CONSTANT DO SUL,0,0,0,1,0,0,0,0,0,0,0,0
BENTO GONCALVES,20,30,27,25,12,19,16,19,23,16,21,38
BOA VISTA DAS MISSOES,0,1,0,0,1,0,0,0,0,1,0,0
BOA VISTA DO BURICA,2,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO CADEADO,0,1,0,0,0,0,0,0,0,0,1,0
BOA VISTA DO INCRA,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO SUL,0,0,0,0,0,0,0,0,0,0,0,1
BOM JESUS,0,5,5,4,3,4,2,1,1,2,1,2
BOM PRINCIPIO,1,0,1,2,2,4,1,1,1,1,2,3
BOM PROGRESSO,0,0,0,0,0,1,0,0,0,1,2,1
BOM RETIRO DO SUL,0,0,0,2,1,2,4,0,2,1,2,0
BOQUEIRAO DO LEAO,3,0,0,0,0,1,1,1,1,1,0,1
BOSSOROCA,1,0,1,0,1,0,0,0,0,2,1,1
BOZANO,0,0,0,0,0,1,0,0,0,1,0,0
BRAGA,0,1,2,1,2,0,0,1,0,1,0,0
BROCHIER,1,0,0,0,0,0,0,0,0,0,0,0
BUTIA,2,2,7,0,5,5,3,2,4,6,8,0
CACAPAVA DO SUL,4,8,3,8,4,6,2,4,5,6,6,13
CACEQUI,0,1,2,1,2,2,1,1,0,3,2,3
CACHOEIRA DO SUL,14,12,14,8,10,15,9,7,11,26,12,19
CACHOEIRINHA,26,33,21,24,11,18,13,16,17,20,22,13
CACIQUE DOBLE,1,0,2,7,0,3,1,0,0,1,0,2
CAIBATE,0,2,0,0,0,0,0,1,0,0,1,1
CAICARA,1,1,1,0,0,1,0,0,0,0,1,0
CAMAQUA,8,9,11,10,6,10,6,7,7,11,11,13
CAMARGO,0,0,2,1,0,0,1,0,0,0,0,0
CAMBARA DO SUL,1,0,2,2,2,0,2,0,0,1,1,1
CAMPESTRE DA SERRA,1,0,0,0,1,2,1,1,0,2,0,0
CAMPINA DAS MISSOES,1,0,1,0,3,0,0,0,0,0,1,0
CAMPINAS DO SUL,0,0,0,1,1,2,1,0,0,0,1,0
CAMPO BOM,7,10,13,8,3,6,6,1,5,3,4,7
CAMPO NOVO,1,1,1,0,2,0,3,2,3,0,0,1
CAMPOS BORGES,0,1,1,0,0,1,0,1,0,0,2,0
CANDELARIA,9,7,7,3,1,6,5,5,2,1,2,9
CANDIDO GODOI,0,2,1,0,1,0,2,3,0,0,0,0
CANDIOTA,2,5,2,1,0,1,1,0,2,2,0,3
CANELA,22,7,18,12,8,5,8,5,7,15,6,13
CANGUCU,4,3,4,6,4,3,1,5,4,1,1,4
CANOAS,59,43,80,51,54,31,31,49,70,70,75,81
CANUDOS DO VALE,0,0,0,0,0,0,0,0,0,0,1,0
CAPAO BONITO DO SUL,0,0,0,1,0,0,0,0,0,1,0,1
CAPAO DA CANOA,26,22,13,16,9,8,3,10,15,10,17,19
CAPAO DO CIPO,0,0,0,0,0,0,0,1,0,0,0,0
CAPAO DO LEAO,8,5,3,0,2,1,1,0,4,5,7,9
CAPELA DE SANTANA,3,0,7,2,0,1,1,3,1,2,1,0
CAPITAO,0,0,0,0,2,0,0,0,0,0,0,1
CAPIVARI DO SUL,1,0,0,0,0,1,0,0,0,3,0,0
CARAA,0,0,0,2,0,0,0,1,1,0,0,0
CARAZINHO,13,15,13,12,13,5,6,4,8,10,9,11
CARLOS BARBOSA,2,2,3,0,6,6,2,2,2,2,4,2
CARLOS GOMES,1,0,1,0,0,0,0,1,0,0,0,0
CASCA,1,1,1,4,1,0,1,1,2,0,1,2
CASEIROS,2,0,0,0,0,0,0,0,1,0,0,0
CATUIPE,2,0,3,1,0,0,0,0,1,1,0,2
CAXIAS DO SUL,62,62,75,53,56,60,53,47,67,72,67,55
CENTENARIO,1,1,0,0,0,0,0,0,0,0,1,0
CERRITO,0,0,3,0,0,0,0,0,0,0,1,3
CERRO BRANCO,0,2,0,0,1,1,0,0,1,0,0,0
CERRO GRANDE,0,0,0,0,1,0,0,0,0,0,0,0
CERRO GRANDE DO SUL,1,1,1,1,0,0,0,0,2,0,0,2
CERRO LARGO,1,1,5,0,0,4,3,3,4,1,2,4
CHAPADA,0,0,0,0,2,0,0,0,0,0,1,1
CHARQUEADAS,5,6,9,6,9,2,2,7,6,10,8,7
CHARRUA,0,0,0,0,0,1,0,0,0,0,0,1
CHIAPETTA,2,0,0,1,0,1,1,0,0,0,0,0
CHUI,0,1,0,0,1,1,0,1,0,4,1,1
CHUVISCA,0,0,0,0,0,0,0,0,0,0,0,0
CIDREIRA,11,15,3,5,1,2,4,1,4,7,1,8
CIRIACO,2,0,2,0,2,2,1,0,0,0,0,1
COLINAS,0,0,1,0,0,0,0,0,1,0,0,0
COLORADO,1,1,0,0,0,0,0,1,0,0,1,0
CONDOR,1,1,0,1,0,1,1,1,2,0,0,3
CONSTANTINA,1,0,0,0,0,1,2,0,1,3,3,0
COQUEIRO BAIXO,0,0,0,0,0,0,0,0,0,0,0,0
COQUEIROS DO SUL,0,0,1,0,0,0,0,0,0,0,0,0
CORONEL BARROS,0,0,1,0,1,0,0,0,0,0,0,0
CORONEL BICACO,0,3,3,1,2,2,2,1,1,1,1,4
CORONEL PILAR,0,0,0,0,0,0,0,0,0,0,0,0
COTIPORA,0,0,0,0,0,2,0,0,0,0,2,0
COXILHA,0,2,0,2,0,0,0,1,0,0,1,2
