Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,0,0,0,0,0,0,1,0,0,0,0,0
AGUDO,0,1,0,0,0,0,0,0,0,0,0,1
AJURICABA,0,0,0,0,0,0,0,0,0,0,0,0
ALECRIM,0,0,0,0,0,0,0,1,0,0,0,0
ALEGRETE,4,1,1,3,0,0,0,2,0,1,1,1
ALEGRIA,0,0,0,0,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,0,0,0,0,0,0,0,0,3,0,0,0
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0
ALTO FELIZ,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,12,7,7,7,6,4,3,10,6,4,8,4
AMARAL FERRADOR,0,0,0,0,0,0,0,1,0,0,0,0
AMETISTA DO SUL,0,0,0,0,1,0,0,1,0,0,0,0
ANDRE DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,0
ANTA GORDA,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO PRADO,0,0,0,0,0,0,0,0,0,0,0,0
ARAMBARE,0,0,0,0,0,0,0,0,0,0,0,0
ARARICA,0,0,0,0,1,0,1,1,0,0,0,0
ARATIBA,0,0,0,0,0,0,0,0,1,0,0,0
ARROIO DO MEIO,0,1,0,0,0,0,1,0,0,0,1,0
ARROIO DO PADRE,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO SAL,0,0,0,1,0,0,0,0,0,0,0,1
ARROIO DO TIGRE,0,0,1,0,0,0,0,0,0,0,0,0
ARROIO DOS RATOS,0,1,2,1,0,1,0,0,0,1,0,0
ARROIO GRANDE,0,0,0,0,1,1,0,0,0,0,0,0
ARVOREZINHA,1,0,0,0,0,0,0,0,0,0,0,0
AUGUSTO PESTANA,0,0,0,0,0,0,0,0,0,0,0,0
AUREA,0,0,0,0,0,1,0,0,0,0,0,0
BAGE,5,2,6,3,1,4,1,3,1,0,3,1
BALNEARIO PINHAL,1,0,2,0,0,1,1,0,0,0,0,0
BARAO,0,0,0,2,0,0,0,0,1,0,0,0
BARAO DO COTEGIPE,0,0,0,1,1,0,0,0,0,1,1,1
BARAO DO TRIUNFO,0,0,1,0,0,0,0,1,0,1,0,0
BARRA DO GUARITA,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO QUARAI,0,0,0,0,1,0,0,0,0,0,0,0
BARRA DO RIBEIRO,0,1,1,0,0,0,1,0,0,0,1,0
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,0,0,0,0,0,0,0,0,0,0,0,0
BARROS CASSAL,0,0,2,0,0,0,0,0,0,0,0,0
BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
BENTO GONCALVES,3,1,1,6,3,1,2,1,2,4,1,2
BOA VISTA DAS MISSOES,0,2,0,0,0,0,0,0,0,0,1,0
BOA VISTA DO BURICA,0,0,0,0,0,0,1,0,0,1,0,0
BOA VISTA DO CADEADO,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO INCRA,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS,0,1,0,0,0,0,0,0,0,0,0,0
BOM PRINCIPIO,0,1,0,0,0,0,1,0,0,1,0,0
BOM PROGRESSO,0,0,0,0,0,1,0,0,0,0,0,0
BOM RETIRO DO SUL,2,0,0,1,0,2,0,1,0,0,0,1
