Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,0,0,0,1,0,1,0,1,1,0,1,0
AGUDO,7,2,1,4,1,0,5,1,6,2,1,1
AJURICABA,0,0,0,0,1,1,2,3,0,0,1,1
ALECRIM,0,0,0,1,0,0,1,1,0,0,0,1
ALEGRETE,15,11,6,7,7,4,8,10,8,6,8,13
ALEGRIA,0,0,1,0,0,0,0,0,0,0,2,1
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,1,0,0,0,0,0,0
ALPESTRE,0,0,1,0,0,1,1,0,3,1,2,1
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0
ALTO FELIZ,0,0,0,0,0,0,0,1,0,0,0,0
ALVORADA,49,37,46,44,43,37,40,42,28,53,50,56
AMARAL FERRADOR,1,0,0,0,0,2,0,0,0,1,0,1
AMETISTA DO SUL,0,1,2,2,1,4,0,1,3,2,5,3
ANDRE DA ROCHA,0,0,0,0,0,0,1,1,2,0,0,0
ANTA GORDA,2,0,0,0,0,0,0,0,1,0,2,0
ANTONIO PRADO,2,1,1,1,0,2,0,2,2,3,0,2
ARAMBARE,2,1,2,3,0,0,1,1,0,2,1,1
ARARICA,1,0,0,1,3,0,0,1,1,0,2,0
ARATIBA,0,0,0,3,1,1,0,0,1,0,2,1
ARROIO DO MEIO,3,1,4,2,3,3,0,2,3,1,1,2
ARROIO DO PADRE,0,0,0,0,0,0,1,0,0,0,0,0
ARROIO DO SAL,0,4,5,2,0,1,2,5,0,3,2,7
ARROIO DO TIGRE,2,1,2,0,0,1,2,0,2,1,0,4
ARROIO DOS RATOS,3,1,0,0,0,2,0,1,5,2,1,3
ARROIO GRANDE,4,6,2,1,2,0,3,1,0,2,2,4
ARVOREZINHA,2,0,3,1,0,0,1,2,0,2,1,0
AUGUSTO PESTANA,2,1,2,1,0,0,0,0,2,0,2,0
AUREA,2,1,0,0,0,2,0,0,2,0,1,1
BAGE,18,21,26,16,7,8,18,14,15,21,23,22
BALNEARIO PINHAL,11,9,6,3,1,4,1,6,4,5,5,3
BARAO,0,3,0,0,0,0,1,1,1,0,0,0
BARAO DO COTEGIPE,0,1,1,1,0,0,0,1,0,1,0,1
BARAO DO TRIUNFO,1,0,0,0,0,1,0,0,0,0,1,1
BARRA DO GUARITA,0,0,1,0,0,0,0,0,1,0,1,1
BARRA DO QUARAI,1,0,0,0,1,0,1,0,2,1,1,1
BARRA DO RIBEIRO,3,1,2,3,2,0,2,5,3,3,6,1
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,1,0,0,0,0,0,0,0,0,0
BARRACAO,0,1,0,0,0,0,0,2,0,0,0,1
BARROS CASSAL,2,2,3,0,2,0,0,0,0,1,2,0
