Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,0,2,1,1,0,0,0,0,0,0,0,0
AGUDO,4,3,3,4,1,5,1,7,3,2,5,4
AJURICABA,0,0,2,0,1,0,0,0,2,1,2,1
ALECRIM,2,1,1,1,0,0,2,2,0,0,0,0
ALEGRETE,10,9,9,13,7,5,13,13,18,9,14,13
ALEGRIA,0,0,0,0,0,0,0,0,0,1,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,0,1,1,1,0,1,1,0,1,1,2,2
ALTO ALEGRE,0,0,0,0,0,0,0,1,0,0,0,0
ALTO FELIZ,0,0,0,0,1,0,0,1,0,0,0,0
ALVORADA,34,37,30,44,23,27,31,41,40,40,28,53
AMARAL FERRADOR,0,0,2,0,0,0,1,0,0,0,1,1
AMETISTA DO SUL,2,0,1,0,1,0,0,3,2,2,2,2
ANDRE DA ROCHA,0,1,0,0,0,0,1,0,0,2,1,1
ANTA GORDA,0,0,0,0,0,1,0,0,0,3,0,1
ANTONIO PRADO,0,1,1,0,0,0,0,1,1,4,1,2
ARAMBARE,3,0,1,1,2,0,1,1,1,0,1,0
ARARICA,5,0,1,2,0,0,0,0,0,3,2,1
ARATIBA,0,2,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,0,0,1,0,5,3,1,1,5,2,4,0
ARROIO DO PADRE,0,1,0,0,0,0,0,0,0,0,0,0
ARROIO DO SAL,7,4,1,1,2,0,2,1,2,1,1,0
ARROIO DO TIGRE,3,1,1,0,0,1,0,0,2,3,1,2
ARROIO DOS RATOS,1,0,1,2,1,3,1,3,2,1,2,1
ARROIO GRANDE,4,2,3,3,3,4,2,5,1,1,2,1
ARVOREZINHA,0,1,0,1,1,0,0,0,0,2,1,3
AUGUSTO PESTANA,1,0,0,1,0,3,0,0,2,4,1,1
AUREA,2,1,0,0,2,1,0,1,0,2,2,0
BAGE,15,18,14,11,18,15,17,18,13,14,15,21
BALNEARIO PINHAL,8,4,5,2,3,1,0,3,2,4,2,4
BARAO,0,0,1,1,1,0,1,0,1,0,0,0
BARAO DO COTEGIPE,0,1,1,0,0,1,0,0,2,3,0,0
BARAO DO TRIUNFO,2,1,1,0,0,2,0,0,0,0,0,0
BARRA DO GUARITA,2,0,0,3,0,0,4,1,0,1,0,1
BARRA DO QUARAI,0,3,0,1,1,0,2,1,0,2,0,1
BARRA DO RIBEIRO,2,1,2,1,2,0,0,2,2,1,2,1
BARRA DO RIO AZUL,1,0,0,0,0,0,0,0,0,0,0,1
BARRA FUNDA,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,3,0,0,0,1,0,0,0,1,0,1,2
BARROS CASSAL,2,1,0,0,0,0,2,2,0,1,1,1
BENJAMIN CONSTANT DO SUL,1,1,0,1,0,0,0,0,0,0,0,2
BENTO GONCALVES,24,28,21,24,22,20,23,17,10,21,20,29
BOA VISTA DAS MISSOES,0,0,1,0,0,1,0,0,0,0,0,1
BOA VISTA DO BURICA,0,0,0,1,1,0,0,1,2,1,1,1
BOA VISTA DO CADEADO,0,0,0,0,0,0,0,1,0,0,0,0
BOA VISTA DO INCRA,1,0,0,0,0,0,0,0,0,0,1,2
BOA VISTA DO SUL,0,0,0,0,0,0,0,0,3,0,0,0
BOM JESUS,1,3,2,3,1,0,4,1,2,0,1,0
BOM PRINCIPIO,1,2,1,0,0,1,1,1,3,2,2,1
BOM PROGRESSO,0,0,0,1,0,1,1,0,0,0,0,1
BOM RETIRO DO SUL,0,1,1,1,1,0,0,1,3,1,1,2
BOQUEIRAO DO LEAO,0,0,0,0,0,0,0,0,0,0,0,1
BOSSOROCA,0,1,0,1,1,0,0,0,0,2,0,0
BOZANO,0,0,0,0,0,0,1,0,0,0,0,0
BRAGA,0,0,1,0,0,0,0,0,0,0,1,1
BROCHIER,1,0,1,0,0,0,0,1,1,0,0,1
BUTIA,5,3,2,2,0,3,2,4,2,5,4,3
CACAPAVA DO SUL,9,3,8,5,9,3,9,1,2,3,3,7
CACEQUI,1,0,1,2,1,2,2,1,1,1,1,4
CACHOEIRA DO SUL,20,14,11,5,13,8,12,8,10,13,10,14
CACHOEIRINHA,20,15,24,9,11,16,16,15,23,18,16,22
CACIQUE DOBLE,4,0,2,1,1,5,2,6,1,2,2,2
CAIBATE,0,1,0,0,0,0,0,0,0,2,0,0
CAICARA,0,0,0,0,2,1,0,1,0,1,0,0
CAMAQUA,7,10,8,10,6,4,5,3,7,18,9,5
CAMARGO,0,1,0,0,1,0,1,0,0,1,0,0
CAMBARA DO SUL,4,0,1,1,3,0,0,1,0,2,1,1
CAMPESTRE DA SERRA,0,2,1,0,0,1,0,0,0,1,1,0
CAMPINA DAS MISSOES,0,0,2,1,0,0,0,1,0,0,0,1
CAMPINAS DO SUL,3,0,0,1,1,1,1,2,0,1,0,0
CAMPO BOM,8,8,5,8,7,2,6,3,6,7,9,6
