Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,0,0,1,0,0,0,0,1,0,0,0,2
AJURICABA,0,0,0,0,0,0,0,0,0,0,0,0
ALECRIM,1,0,0,0,0,0,0,0,0,0,0,0
ALEGRETE,0,1,1,0,2,4,0,0,2,3,1,3
ALEGRIA,0,0,0,0,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,1,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,2,0,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0
ALTO FELIZ,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,9,2,8,5,7,12,7,8,3,6,7,6
AMARAL FERRADOR,0,0,0,0,0,0,0,0,0,0,0,0
AMETISTA DO SUL,0,0,0,0,1,0,0,0,1,1,0,1
ANDRE DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,0
ANTA GORDA,0,0,0,0,0,0,1,0,0,0,0,0
ANTONIO PRADO,0,0,0,0,0,0,0,0,0,1,0,1
ARAMBARE,0,0,0,0,0,0,0,0,0,0,0,0
ARARICA,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,0,0,0,1,0,0,0,0,1,0,0,0
ARROIO DO PADRE,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO SAL,0,0,0,0,6,0,1,1,0,1,0,2
ARROIO DO TIGRE,0,0,0,0,1,0,0,0,0,0,0,0
ARROIO DOS RATOS,1,0,0,0,2,0,0,0,0,0,0,0
ARROIO GRANDE,1,0,1,1,0,0,0,0,0,0,0,2
ARVOREZINHA,0,0,0,0,0,0,1,0,0,0,0,0
AUGUSTO PESTANA,1,0,0,0,0,0,0,0,0,0,3,0
AUREA,0,0,0,0,0,0,0,0,0,0,0,0
